No;Judul;Penulis;Abstract
0;Using Bayesian threshold model and machine learning method to improve the accuracy of genomic prediction for ordered categorical traits in fish;"Hailiang Song, Tian Dong, Xiaoyu Yan, Wei Wang, Zhaohui Tian, Hongxia Hu *";"Ordered categorical traits are commonly used in fish breeding programs as they are easier to obtain than continuous observations. However, most studies treat ordered categorical traits as linear traits and analyze them using linear models, which can lead to a serious reduction in prediction accuracy by violating the basic assumptions of linear models. The aim of this study was to evaluate the advantages of Bayesian threshold model and machine learning method in genomic prediction of ordered categorical traits in fish. The study was based on the analyses of simulated data and real data of Atlantic salmon. Ordinal categorical traits were simulated with varying numbers of categories (2, 3 and 4) and levels of heritabilities (0.1, 0.3 and 0.5). Linear and threshold models with BayesA and BayesCp methods, as well as a machine learning method, support vector regression with default (SVRdef) and tuning (SVRtuning) hyperparameters were used to investigate their prediction abilities. The results showed that Bayesian threshold models yielded 2.1%, 2.6% and 2.9% higher prediction accuracies on average for 2-, 3- and 4-category traits, respectively, than Bayesian linear models. Furthermore, SVRtuning produced higher prediction accuracy compared with SVRdef and Bayesian threshold models in all scenarios. For real data, Bayesian threshold models yielded 1.2% higher prediction accuracy than Bayesian linear models, and SVRdef and SVRtuning yielded 3.3% and 6.6% higher prediction accuracies than Bayesian methods, respectively. In conclusion, the use of Bayesian threshold model and machine learning method was beneficial for genomic prediction of ordered categorical traits in fish."
1;Drones in agriculture: A review and bibliometric analysis;"Abderahman Rejeb a , Alireza Abdollahi b , Karim Rejeb c , Horst Treiblmaier d,*";"Drones, also called Unmanned Aerial Vehicles (UAV), have witnessed a remarkable development in recent decades. In agriculture, they have changed farming practices by offering farmers substantial cost savings, increased operational efficiency, and better profitability. Over the past decades, the topic of agricultural drones has attracted remarkable academic attention. We therefore conduct a comprehensive review based on bibliometrics to summarize and structure existing academic literature and reveal current research trends and hotspots. We apply bibliometric techniques and analyze the literature surrounding agricultural drones to summarize and assess previous research. Our analysis indicates that remote sensing, precision agriculture, deep learning, machine learning, and the Internet of Things are critical topics related to agricultural drones. The co-citation analysis reveals six broad research clusters in the literature. This study is one of the first attempts to summarize drone research in agriculture and suggest future research directions."
2;A comprehensive analysis of global patent landscape for recent R&D in agricultural drone technologies;"Amy J.C. Trappey * , Ging-Bin Lin, Hong-Kai Chen, Ming-Chi Chen";"The rapid development of information technology, along with advanced wireless communication technologies, has revolutionized the use of unmanned aerial vehicles (UAVs or drones) in many industries. In agriculture, due to the climate change and the growing global population, causing unprecedented demands and risks on food supplies, intelligent and automatic agricultural technologies are critical needs. UAVs offer a wide range of applications to transform traditional agricultural practices into Agriculture 4.0 that integrates advanced technology to optimize agricultural productivity, sustainability, and efficiency. To gain comprehensive insights into the current and future development of agricultural UAVs technologies, this research conducts extensive review and analysis of patents and non-patent literature in the field. By thoroughly examining the literature, the knowledge ontology of ag-UAV technologies is presented. Additionally, comprehensive macro- and micro-patent analyses identify the patenting trends and top tech-leaders for the key technologies related to agricultural drones. Moreover, utilizing regression modeling, technology maturity analysis, and technology-function matrix (TFM), the current and future R&D trends and the cold and hot spots of the technical innovations are identified. Through these detailed patent analyses, the state-of-the-art and potential advancements in agricultural UAV technologies are depicted, serving as crucial intelligence for R&D initiatives and IP strategies."
3;"Multi-sensor drone survey of ancestral agricultural landscapes at Picuris Pueblo, New Mexico";"Jesse Casana a,* , Severin Fowles b , Lindsay M. Montgomery c , Richard Mermejo d , Carolin Ferwerda e , Austin Chad Hill f , Michael Adler g";"Although aircraft-acquired lidar has proven to be a transformative technology for archaeology in forested regions around the world, drone-acquired lidar systems that could potentially offer higher-resolution imagery at much lower cost remain difficult to deploy in field settings, while the data they produce are prone to large errors and are challenging to process. This paper presents results of a study that employs a new ultra-compact drone-based lidar system, alongside aerial thermal and visible light imaging, to document ancient agricultural landscapes at Picuris Pueblo, New Mexico. We discuss the advantages of this new instrumentation, various approaches to field data collection, and as well as our novel data processing and filtering methods, which collectively offer key methodological advances for archaeological investigations using drone-based lidar. Results reveal extensive remains of a vast system of terraces and stone-built field systems, preserved below the modern pinon-juniper- ? ponderosa forests of the Picuris Reservation and surrounding areas. These findings offer new perspectives on the scale and intensity of past agricultural activities in this highland region of the American Southwest, while demonstrating the power of combining multiple drone-based remote sensing datasets with detailed surface surveys to aid in the discovery, mapping, and interpretation of archaeological landscapes in forested regions."
4;Placement and drone flight path mapping of agricultural soil sensors using machine learning;"Payton Goodrich a,* , Omar Betancourt a , Ana Claudia Arias b , Tarek Zohdi a";"Accurate soil data, which can be collected with agricultural sensors spaced at the half-variogram range, is crucial information for precision agriculture. Drones offer a unique advantage over other existing methods to sample data from soil sensors because of the high density of sensors required to gather spatially granular data to capture soil variability. To determine the placement of sensors within an agricultural field, a novel sequential gap-reduction algorithm that minimizes sensor overlap was developed and used to assign sensor placement for four types of agricultural fields. A genetic algorithm optimized multi-agent flight paths for scanning sensors in a simulated agricultural field using a robust agent-based model. The locations of soil sensors for a simulated 400 m center-pivot irrigation field were used to determine flight paths for swarms of 1-8 drones. Increasing the number of drones in the swarm had a negligible effect on total energy expenditure but reduced the time to scan the sensors from 19 min to less than three minutes. The proposed sequential gap reduction algorithm maximizes the coverage of any arbitrarily-shaped agricultural field with fewer sensors than a grid-based distribution in most cases. The proposed multi-agent flight path mapping can effectively and efficiently generate flight paths for variable numbers of drones to scan all sensors. The framework proposed here can be utilized and expanded for variable rate irrigation, precision application of biological control agents, and smart farming."
5;Mean and turbulent flow characteristics of downwash air flow generated by a single rotor blade in agricultural drones;"Cheng Shouji a , Reza Alidoost Dafsari a , Seung-Hwa Yu b , Yong Choi b , Jeekeun Lee c";"Recently, agricultural drones have been widely used for precise agricultural control. In the case of drone control, improved coverage and reduced drift potential of chemical sprays are of major concern, and this is greatly influenced by the downwash flow characteristics formed by the rotor blades. In this study, the mean and turbulent flow characteristics of the downwash flow generated by a single blade of a four-sided agricultural control drone were quantitatively evaluated. The blade radius used to generate the downwash flow was 370 mm, and the measurement position was normalized using this length. In addition, the rotational speed of the blade was 3000 rpm, and the velocity components were dimensionlessly expressed using the blade tip velocity (VBtip) corresponding to this rotational speed. The velocity of downwash flow was measured using CTA-type hot-wire anemometry with an X-type probe, and data were collected at a sampling rate of 30 kHz for turbulence characteristics analysis. The mean velocity, vorticity distribution, turbulence intensity, and Reynolds stress of the fluctuation velocity were quantitatively measured. From extensive experimental works, it was revealed that a high axial velocity is formed at a specific position (r/Lb = 0.4?0.8) along the blade length. The radial velocity shows an asymmetric distribution in the plane close to the blade, and the tangential velocity is higher in the central part of the downwash flow than in the region of a high axial and negative radial velocity. An asymmetric spiral rotational flow with low axial velocity and low-pressure distribution exists inside the downwash flow due to the shear flow, and the influence of the driving motor almost disappears at the axial position (Z/Lb ~ 1). The averaged mean value of the axial, radial, and tangential velocity components measured at six axial planes and normalized by blade tip velocity (VBtip) is composed of the ratio of the axial velocity component of 12.8%, the radial velocity component of 0.19%, and the tangential velocity component of 1.3%. The maximum values of the turbulence intensity of the axial, radial, and tangential velocity components were estimated as 6.8%, 3.0%, and 4.3%, respectively."
6;Entrepreneurs of the air: Sprayer drones as mediators of volumetric agriculture;"Francisco Klauser * , Dennis Pauschinger";"The article investigates in empirical detail the air-bound practices, expectations and imaginaries that arise from the development and commercialisation of the first authorised drone system in Europe for the automated application of pesticides, which has been developed and sold and is piloted by a Swiss startup company. Sprayer drones make the air relevant for agricultural practices and processes in novel, inherently functionalised and commercialised ways, such is the article?s basic argument. Thus, the aerial realm is being encountered as an object of pragmatically motivated alliances and competitions, which depend on the agendas and organisational structures of the stakeholders involved. This leads to a critical discussion of the issues surrounding the increasing instrumentalisation of the air for agro-entrepreneurial purposes, and opens up a wider reflection on how agriculture relates to the air and, indeed, on how to develop a properly ?volumetric thinking? in contemporary rural studies."
7;Creation of a digital model of fields with application of DJI phantom 3 drone and the opportunities of its utilization in agriculture;"T. Hovhannisyan* , P. Efendyan, M. Vardanyan";"Agriculture is one of the most important sectors of the economy of the Republic of Armenia. About 45% of people employed in Armenia are engaged in agriculture [1]. Innovative technologies, especially unmanned aerial vehicles (drones), can make a great contribution to the development and improvement of agriculture. The purpose of the research was to study the possibilities of application of unmanned aerial vehicles in agriculture. We have got digital models of 3 ha fields using DJI phantom 3, and this enables us to receive up-to-date information at any time and carry out a variety of analyzes and projections."
8;Soil sampling with drones and augmented reality in precision agriculture;"Janna Huuskonen, Timo Oksanen?";"Soil sampling is an important tool to gather information for making proper decisions regarding the fertilization of fields. Depending on the national regulations, the minimum frequency may be once per five years and spatially every ten hectares. For precision farming purposes, this is not sufficient. In precision farming, the challenge is to collect the samples from such regions that are internally consistent while limiting the number of samples required. For this purpose, management zones are used to divide the field into smaller regions. This article presents a novel approach to automatically determine the locations for soil samples based on a soil map created from drone imaging after ploughing, and a wearable augmented reality technology to guide the user to the generated sample points. Finally, the article presents the results of a demonstration carried out in southern Finland."
9;Implementation of drone technology for farm monitoring & pesticide spraying: A review;"Abdul Hafeez a , Mohammed Aslam Husain a,* , S.P. Singh a , Anurag Chauhan b , Mohd. Tauseef Khan b , Navneet Kumar c , Abhishek Chauhan c , S.K. Soni d";"The world receives more than 200 thousand people in a day and it is expected that the total world population will reach 9.6 billion by the year 2050. This will result in extra food demand, which can only be met from enhanced crop yield. Therefore, modernization of the agricultural sector becomes the need of the hour. There are many constraints that are responsible for the low production of crops, which can be overcome by using drone technology in the agriculture sector. This paper presents an analysis of drone technologies and their modifications with time in the agriculture sector in the last decade. The application of drones in the area of crop monitoring, and pesticide spraying for Precision Agriculture (PA) has been covered. The work done related to drone structure, multiple sensor development, innovation in spot area spraying has been presented. Moreover, the use of Artificial Intelligent (AI) and deep learning for the remote monitoring of crops has been discussed"
10;Review on Application of Drone Systems in Precision Agriculture;"UM Rao Mogili1* and B B V L Deepak2 ,";"In the present era, there are too many developments in precision agriculture for increasing the crop productivity. Especially, in the developing countries like India, over 70% of the rural people depends upon the agriculture fields. The agriculture fields faces dramatic losses due to the diseases. These diseases came from the pests and insets, which reduces the productivity of the crops. Pesticides and fertilizers are used to kill the insects and pests in order to enhance the crop quality. The WHO (World Health Organization) estimated as one million cases of ill effected, when spraying the pesticides in the crop filed manually. The Unmanned aerial vehicle (UAV) ? aircrafts are used to spray the pesticides to avoid the health problems of humans when they spray manually. UAVs can be used easily, where the equipment and labors difficulty to operate. This paper reviews briefly the implementation of UAVs for crop monitoring and pesticide spraying."
